date,temperature,humidity,rainfall
01/01/2023,23.8,53,18.1
01/02/2023,25.7,86,16.9
01/03/2023,22.2,89,11.8
01/04/2023,31.8,59,16.9
01/05/2023,34.2,82,10.1
01/06/2023,23.8,58,19.1
01/07/2023,30.4,76,5.7
01/08/2023,26.7,65,10.7
01/09/2023,25.2,76,8.2
01/10/2023,25.5,84,0.2
01/11/2023,22.2,77,14.3
01/12/2023,22.8,72,13.5
01/13/2023,24.8,80,10.3
01/14/2023,21.4,50,6
01/15/2023,22.7,54,9.5
01/16/2023,23.8,89,18.6
01/17/2023,28.7,72,14.2
01/18/2023,33.2,75,13.5
01/19/2023,23,74,17.2
01/20/2023,22.8,86,5.8
01/21/2023,33,80,5.5
01/22/2023,34.9,52,11
01/23/2023,31.5,52,15.3
01/24/2023,31.7,83,8.1
01/25/2023,34,62,4.3
01/26/2023,31,67,4.8
01/27/2023,27.5,69,4.5
01/28/2023,24.5,60,8.3
01/29/2023,33.6,74,16.4
01/30/2023,23.1,69,4.2
01/31/2023,22,61,9.1
02/01/2023,30.3,58,10.1
02/02/2023,27.1,74,4.9
02/03/2023,32.1,59,8.8
02/04/2023,21.7,90,0.5
02/05/2023,28.8,62,13.1
02/06/2023,23.2,64,19
02/07/2023,23.7,74,5.8
02/08/2023,21.4,77,12.6
02/09/2023,21.1,84,18.9
02/10/2023,34.9,77,13.9
02/11/2023,25.9,89,0.9
02/12/2023,34.9,90,13.6
02/13/2023,34.7,57,14.9
02/14/2023,28,90,12.2
02/15/2023,28.8,85,10.9
02/16/2023,23.5,88,11
02/17/2023,23.6,56,3.9
02/18/2023,24.6,87,1.2
02/19/2023,28.3,67,15.9
02/20/2023,31,53,19.7
02/21/2023,31.3,74,19.7
02/22/2023,30.9,75,9.6
02/23/2023,23.1,75,0.5
02/24/2023,27.5,76,12.7
02/25/2023,28.2,86,8.5
02/26/2023,25.7,52,0.8
02/27/2023,23.8,67,14.7
02/28/2023,28.8,60,10.3
03/01/2023,29,73,10.9
03/02/2023,31.1,62,3.1
03/03/2023,29.1,56,18.4
03/04/2023,34.3,69,1.5
03/05/2023,23.3,55,12.3
03/06/2023,34,65,4.3
03/07/2023,21.1,74,13.1
03/08/2023,33.5,55,17.5
03/09/2023,28.2,83,3.7
03/10/2023,29,68,4
03/11/2023,20.8,77,19.2
03/12/2023,23,90,11.4
03/13/2023,31.8,57,13.4
03/14/2023,22,51,7.4
03/15/2023,21,65,3.6
03/16/2023,30.8,69,18.5
03/17/2023,23.7,84,2.9
03/18/2023,28.2,63,13.9
03/19/2023,25.1,89,0.5
03/20/2023,29.7,52,17.8
03/21/2023,28.5,76,2.3
03/22/2023,20.9,53,7
03/23/2023,24.3,62,17.1
03/24/2023,25.2,81,9.6
03/25/2023,23.2,90,13
03/26/2023,33.4,85,6.1
03/27/2023,25.2,61,8.7
03/28/2023,27.3,51,14.4
03/29/2023,32.9,68,2.3
03/30/2023,30.2,50,17.9
03/31/2023,30.2,69,15
04/01/2023,32.4,86,18.4
04/02/2023,29.3,64,5.1
04/03/2023,33.1,56,8.1
04/04/2023,24,76,5.2
04/05/2023,35,56,8.5
04/06/2023,22,64,10.1
04/07/2023,31.3,84,7.7
04/08/2023,33.5,90,10
04/09/2023,28,53,3.6
04/10/2023,29.2,66,15.2
04/11/2023,26.5,75,1.1
04/12/2023,24.6,83,9.6
04/13/2023,30.8,64,14.8
04/14/2023,25.2,80,14.3
04/15/2023,24.8,65,13.2
04/16/2023,34.1,51,2.8
04/17/2023,28.7,50,8.3
04/18/2023,26.7,87,6.1
04/19/2023,32.5,79,13.8
04/20/2023,29.9,72,16.1
04/21/2023,31.8,77,16.4
04/22/2023,20.4,87,6.3
04/23/2023,21,86,15.9
04/24/2023,26.1,78,0.3
04/25/2023,34.1,63,14.2
04/26/2023,34.3,72,16.2
04/27/2023,26.2,57,18.2
04/28/2023,23.6,81,3.3
04/29/2023,20.4,82,17
04/30/2023,34,50,10.6
05/01/2023,32.6,75,12.4
05/02/2023,28.6,71,11.9
05/03/2023,24.7,56,1.1
05/04/2023,29.7,65,1.2
05/05/2023,24.7,52,11
05/06/2023,24.9,85,7.3
05/07/2023,33.1,52,13.5
05/08/2023,29,73,19.4
05/09/2023,20.8,75,13.3
05/10/2023,34.6,66,8.9
05/11/2023,29.3,58,9.1
05/12/2023,33.5,83,13.4
05/13/2023,33.9,64,19.6
05/14/2023,23.8,90,13.5
05/15/2023,22.9,87,11.4
05/16/2023,26,90,16.3
